Date,Baseline (2019),Current
4/26/20,423408,29640
5/3/20,521444,34354
5/10/20,521444,36391
5/17/20,521444,37830
5/24/20,521444,39271
5/31/20,642866,44363
6/7/20,663103,46390
6/14/20,663103,48975
6/21/20,663103,52524
6/28/20,657899,47329
7/5/20,653996,50620
7/12/20,653996,51917
7/19/20,653996,51831
7/26/20,658516,52795
8/2/20,685636,54084
8/9/20,685636,55387
8/16/20,685636,57280
8/23/20,685636,57113
8/30/20,582921,56935
9/6/20,541835,53407
9/13/20,541835,57613
9/20/20,541835,57776
9/27/20,525422,58877
10/4/20,503538,57774
10/11/20,503538,56054
10/18/20,503538,57418
10/25/20,503538,57856
11/1/20,451269,54353
11/8/20,451269,52983
11/15/20,451269,53082
11/22/20,451269,45053
11/29/20,450814,52851
12/6/20,450632,52698
12/13/20,450632,53809
12/20/20,450632,41975
12/27/20,428310,38630
1/3/21,372505,52569
1/10/21,372505,52488
1/17/21,372505,48505
1/24/21,372505,49409
1/31/21,382855,49749
2/7/21,384580,49689
2/14/21,384580,46810
2/21/21,384580,51012
2/28/21,441640,53313
3/7/21,451150,54926
3/14/21,451150,54607
3/21/21,451150,57068
3/28/21,463618,60814
4/4/21,480242,55928
4/11/21,480242,56591
4/18/21,480242,58018
4/25/21,486128,60353
5/2/21,521444,61412
5/9/21,521444,62294
5/16/21,521444,63001
5/23/21,521444,61624
5/30/21,622629,61478
6/6/21,663103,66446
6/13/21,663103,65476
6/20/21,663103,66030
6/27/21,659200,62397
7/4/21,653996,63401
7/11/21,653996,72291
7/18/21,653996,73245
7/25/21,653996,74141
8/1/21,685636,72475
8/8/21,685636,92443
8/15/21,685636,114885
8/22/21,685636,117305
8/29/21,603464,112429
9/5/21,541835,119489
9/12/21,541835,105443
9/19/21,541835,104600
9/26/21,530893,104966
10/3/21,503538,102555
10/10/21,503538,113019
10/17/21,503538,102718
10/24/21,503538,99341
10/31/21,458736,94204
11/7/21,451269,164429
11/14/21,451269,137509
11/21/21,451269,128137
11/28/21,450905,191422
12/5/21,450632,165039
12/12/21,450632,175099
12/19/21,450632,134988
12/26/21,439471,120179
1/2/22,372505,101888
1/9/22,372505,93810
1/16/22,372505,89097
1/23/22,372505,96230
1/30/22,381130,92958
2/6/22,384580,102638
2/13/22,384580,109870
2/20/22,384580,127019
2/27/22,432130,137266
3/6/22,451150,153456
3/13/22,451150,151651
3/20/22,451150,147352
3/27/22,459462,180533
4/3/22,480242,222825
4/10/22,480242,256131
4/17/22,480242,239381
4/24/22,480242,239879
5/1/22,521444,249184
5/8/22,521444,260750
5/15/22,521444,307014
5/22/22,521444,278530
5/29/22,602392,311660
6/5/22,663103,304223
6/12/22,663103,313217
6/19/22,663103,347561
6/26/22,660501,377743
7/3/22,653996,376981
7/10/22,653996,366765
7/17/22,653996,382025
7/24/22,653996,412397
7/31/22,681116,399856
8/7/22,685636,397847
8/14/22,685636,405149
8/21/22,685636,383212
8/28/22,624007,388511
9/4/22,541835,357784
9/11/22,541835,320896
9/18/22,541835,318364
9/25/22,536364,330959
10/2/22,503538,380477
10/9/22,503538,376356
10/16/22,503538,333080
